Category,License,Dependency,Notes
Apache,Apache (http://www.apache.org/licenses/LICENSE-2.0),io.github.nremond # pbkdf2-scala_2.12 # 0.6.5,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),com.chuusai # shapeless_2.12 # 2.3.3,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),com.datastax.cassandra # cassandra-driver-core # 3.9.0,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0),com.sksamuel.elastic4s # elastic4s-core_2.12 # 6.7.4,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0),com.sksamuel.elastic4s # elastic4s-http-streams_2.12 # 6.7.4,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0),com.sksamuel.elastic4s # elastic4s-http_2.12 # 6.7.4,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),com.sleepycat # je # 18.3.12,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),net.codingwell # scala-guice_2.12 # 4.2.6,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.apache.lucene # lucene-analyzers-common # 7.7.2,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.apache.lucene # lucene-core # 7.7.2,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.apache.lucene # lucene-queries # 7.7.2,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.apache.lucene # lucene-queryparser # 7.7.2,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.apache.lucene # lucene-sandbox # 7.7.2,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.apache.lucene # lucene-spatial # 7.7.2,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.apache.lucene # lucene-spatial-extras # 7.7.2,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.apache.lucene # lucene-spatial3d # 7.7.2,
Apache,Apache 2 (http://www.opensource.org/licenses/Apache-2.0),org.apache.tinkerpop # gremlin-core # 3.4.6,
Apache,Apache 2 (http://www.opensource.org/licenses/Apache-2.0),org.apache.tinkerpop # gremlin-driver # 3.4.6,
Apache,Apache 2 (http://www.opensource.org/licenses/Apache-2.0),org.apache.tinkerpop # gremlin-groovy # 3.4.6,
Apache,Apache 2 (http://www.opensource.org/licenses/Apache-2.0),org.apache.tinkerpop # gremlin-shaded # 3.4.6,
Apache,Apache 2 (http://www.opensource.org/licenses/Apache-2.0),org.apache.tinkerpop # tinkergraph-gremlin # 3.4.6,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.fluentlenium # fluentlenium-core # 3.7.1,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.typelevel # macro-compat_2.12 # 1.1.1,
Apache,Apache 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt),com.google.errorprone # error_prone_annotations # 2.3.4,
Apache,Apache 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt),com.squareup # javapoet # 1.8.0,
Apache,Apache 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt),com.squareup.okhttp # okhttp # 2.7.5,
Apache,Apache 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt),com.squareup.okhttp3 # okhttp # 3.11.0,
Apache,Apache 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt),com.squareup.okio # okio # 1.14.0,
Apache,Apache 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt),com.squareup.okio # okio # 1.6.0,
Apache,Apache License 2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),io.dropwizard.metrics # metrics-core # 3.2.2,
Apache,Apache License 2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),io.dropwizard.metrics # metrics-ganglia # 3.2.2,
Apache,Apache License 2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),io.dropwizard.metrics # metrics-graphite # 3.2.2,
Apache,Apache License 2.0 (http://www.apache.org/licenses/LICENSE-2.0),net.objecthunter # exp4j # 0.4.8,
Apache,Apache License Version 2.0 (LICENSE.txt),org.yaml # snakeyaml # 1.15,
Apache,"Apache License, Version 2.0 (https://aws.amazon.com/apache2.0)",com.amazonaws # aws-java-sdk-core # 1.11.476,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",com.github.ben-manes.caffeine # caffeine # 2.8.4,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",com.github.ben-manes.caffeine # jcache # 2.8.4,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.github.stephenc.jcip # jcip-annotations # 1.0-1,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.google.guava # guava # 28.2-jre,
