"module name","license","repository"
"abbrev@1.0.9","ISC","https://github.com/isaacs/abbrev-js"
"abbrev@1.1.1","ISC","https://github.com/isaacs/abbrev-js"
"accepts@1.2.13","MIT","https://github.com/jshttp/accepts"
"accepts@1.3.5","MIT","https://github.com/jshttp/accepts"
"acorn@0.11.0","MIT","http://marijnhaverbeke.nl/git/acorn"
"ajv@6.7.0","MIT","https://github.com/epoberezkin/ajv"
"alter@0.2.0","MIT","https://github.com/olov/alter"
"amdefine@1.0.1","BSD-3-Clause OR MIT","https://github.com/jrburke/amdefine"
"ansi-gray@0.1.1","MIT","https://github.com/jonschlinkert/ansi-gray"
"ansi-regex@0.1.0","MIT","https://github.com/sindresorhus/ansi-regex"
"ansi-regex@0.2.1","MIT","https://github.com/sindresorhus/ansi-regex"
"ansi-regex@1.1.1","MIT","https://github.com/sindresorhus/ansi-regex"
"ansi-regex@2.1.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@1.1.0","MIT","https://github.com/sindresorhus/ansi-styles"
"ansi-styles@2.2.1","MIT","https://github.com/chalk/ansi-styles"
"ansi-wrap@0.1.0","MIT","https://github.com/jonschlinkert/ansi-wrap"
"archive-type@3.2.0","MIT","https://github.com/kevva/archive-type"
"archy@0.0.2","MIT*","https://github.com/substack/node-archy"
"argparse@0.1.16","MIT","https://github.com/nodeca/argparse"
"argparse@1.0.10","MIT","https://github.com/nodeca/argparse"
"arr-diff@2.0.0","MIT","https://github.com/jonschlinkert/arr-diff"
"arr-flatten@1.1.0","MIT","https://github.com/jonschlinkert/arr-flatten"
"array-differ@1.0.0","MIT","https://github.com/sindresorhus/array-differ"
"array-filter@0.0.1","MIT","https://github.com/juliangruber/array-filter"
"array-find-index@1.0.2","MIT","https://github.com/sindresorhus/array-find-index"
"array-map@0.0.0","MIT","https://github.com/substack/array-map"
"array-reduce@0.0.0","MIT","https://github.com/substack/array-reduce"
"array-uniq@1.0.3","MIT","https://github.com/sindresorhus/array-uniq"
"array-unique@0.2.1","MIT","https://github.com/jonschlinkert/array-unique"
"asn1@0.1.11","MIT*","https://github.com/mcavage/node-asn1"
"asn1@0.2.4","MIT","https://github.com/joyent/node-asn1"
"assert-plus@0.1.5","MIT*","https://github.com/mcavage/node-assert-plus"
"assert-plus@1.0.0","MIT","https://github.com/mcavage/node-assert-plus"
"async-each-series@1.1.0","MIT","https://github.com/jb55/async-each-series"
"async@0.1.22","MIT","https://github.com/caolan/async"
"async@0.2.10","MIT","https://github.com/caolan/async"
"async@0.9.2","MIT","https://github.com/caolan/async"
"async@1.5.2","MIT","https://github.com/caolan/async"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit"
"autoprefixer@6.7.7","MIT","https://github.com/postcss/autoprefixer"
"aws-sign2@0.5.0","Apache*","https://github.com/mikeal/aws-sign"
"aws-sign2@0.7.0","Apache-2.0","https://github.com/mikeal/aws-sign"
"aws4@1.8.0","MIT","https://github.com/mhart/aws4"
"balanced-match@1.0.0","MIT","https://github.com/juliangruber/balanced-match"
"base64-url@1.2.1","ISC","https://github.com/joaquimserafim/base64-url"
"basic-auth-connect@1.0.0","MIT","https://github.com/expressjs/basic-auth-connect"
"basic-auth@1.0.4","MIT","https://github.com/jshttp/basic-auth"
"batch@0.5.3","MIT","https://github.com/visionmedia/batch"
"bcrypt-pbkdf@1.0.2","BSD-3-Clause","https://github.com/joyent/node-bcrypt-pbkdf"
"beeper@1.1.1","MIT","https://github.com/sindresorhus/beeper"
"bin-build@2.2.0","MIT","https://github.com/kevva/bin-build"
"bin-check@2.0.0","MIT","https://github.com/kevva/bin-check"
"bin-version-check@2.1.0","MIT","https://github.com/sindresorhus/bin-version-check"
"bin-version@1.0.4","MIT","https://github.com/sindresorhus/bin-version"
"bin-wrapper@3.0.2","MIT","https://github.com/kevva/bin-wrapper"
"binary@0.3.0","MIT","https://github.com/substack/node-binary"
"bl@0.9.5","MIT","https://github.com/rvagg/bl"
"bl@1.2.2","MIT","https://github.com/rvagg/bl"
"body-parser@1.13.3","MIT","https://github.com/expressjs/body-parser"
"boom@0.4.2","BSD","https://github.com/spumko/boom"
"bower-config@0.5.3","MIT","https://github.com/bower/config"
"bower-endpoint-parser@0.2.2","MIT","https://github.com/bower/endpoint-parser"
"bower-json@0.4.0","MIT","https://github.com/bower/json"
"bower-logger@0.2.2","MIT","https://github.com/bower/logger"
"bower-registry-client@0.2.4","MIT","https://github.com/bower/registry-client"
"bower@1.3.12","MIT","https://github.com/bower/bower"
"bower@1.8.8","MIT","https://github.com/bower/bower"
"brace-expansion@1.1.11","MIT","https://github.com/juliangruber/brace-expansion"
"braces@1.8.5","MIT","https://github.com/jonschlinkert/braces"
"browserify-zlib@0.1.4","MIT","https://github.com/devongovett/browserify-zlib"
"browserslist@1.7.7","MIT","https://github.com/ai/browserslist"
"buffer-alloc-unsafe@1.1.0","MIT","https://github.com/LinusU/buffer-alloc-unsafe"
"buffer-alloc@1.2.0","MIT","https://github.com/LinusU/buffer-alloc"
"buffer-crc32@0.2.13","MIT","https://github.com/brianloveswords/buffer-crc32"
"buffer-fill@1.0.0","MIT","https://github.com/LinusU/buffer-fill"
"buffer-from@1.1.1","MIT","https://github.com/LinusU/buffer-from"
"buffer-to-vinyl@1.1.0","MIT","https://github.com/kevva/buffer-to-vinyl"
"buffers@0.1.1","Custom: http://github.com/substack/node-bufferlist","https://github.com/substack/node-buffers"
"builtin-modules@1.1.1","MIT","https://github.com/sindresorhus/builtin-modules"
"bytes@2.1.0","MIT","https://github.com/visionmedia/bytes.js"
"bytes@2.4.0","MIT","https://github.com/visionmedia/bytes.js"
"camel-case@1.2.2","MIT","https://github.com/blakeembrey/camel-case"
"camelcase-keys@2.1.0","MIT","https://github.com/sindresorhus/camelcase-keys"
"camelcase@1.2.1","MIT","https://github.com/sindresorhus/camelcase"
"camelcase@2.1.1","MIT","https://github.com/sindresorhus/camelcase"
"caniuse-db@1.0.30000930","CC-BY-4.0","https://github.com/Fyrd/caniuse"
"capture-stack-trace@1.0.1","MIT","https://github.com/floatdrop/capture-stack-trace"
"cardinal@0.4.0","MIT","https://github.com/thlorenz/cardinal"
"caseless@0.12.0","Apache-2.0","https://github.com/mikeal/caseless"
"caseless@0.6.0","BSD*","https://github.com/mikeal/caseless"
"caseless@0.8.0","BSD*","https://github.com/mikeal/caseless"
"caw@1.2.0","MIT","https://github.com/kevva/caw"
"cdnjs-cdn-data@0.1.2","MIT","https://github.com/shahata/cdnjs-cdn-data"
"chainsaw@0.1.0","MIT*","https://github.com/substack/node-chainsaw"
"chalk@0.5.0","MIT","https://github.com/sindresorhus/chalk"
"chalk@0.5.1","MIT","https://github.com/sindresorhus/chalk"
"chalk@1.1.3","MIT","https://github.com/chalk/chalk"
"change-case@2.1.6","MIT","https://github.com/blakeembrey/change-case"
"change-case@2.3.1","MIT","https://github.com/blakeembrey/change-case"
"chmodr@0.1.0","BSD*","https://github.com/isaacs/chmodr"
"clap@1.2.3","MIT","https://github.com/lahmatiy/clap"
"clean-css@2.2.23","MIT","https://github.com/GoalSmashers/clean-css"
"clean-css@3.1.9","MIT","https://github.com/jakubpawlowicz/clean-css"
"clean-css@3.4.28","MIT","https://github.com/jakubpawlowicz/clean-css"
"cli-color@0.3.3","MIT","https://github.com/medikoo/cli-color"
"cli@0.6.6","MIT","https://github.com/chriso/cli"
"clone-stats@0.0.1","MIT","https://github.com/hughsk/clone-stats"
"clone@0.2.0","MIT","https://github.com/pvorb/node-clone"
"clone@1.0.4","MIT","https://github.com/pvorb/node-clone"
"co@3.1.0","MIT","https://github.com/visionmedia/co"
"coa@1.0.4","MIT","https://github.com/veged/coa"
"coffee-script@1.3.3","MIT","https://github.com/jashkenas/coffee-script"
"color-support@1.1.3","ISC","https://github.com/isaacs/color-support"
"colors@0.6.2","Custom: http://i.imgur.com/goJdO.png","https://github.com/Marak/colors.js"
"colors@1.1.2","MIT","https://github.com/Marak/colors.js"
"combined-stream@0.0.7","MIT*","https://github.com/felixge/node-combined-stream"
"combined-stream@1.0.7","MIT","https://github.com/felixge/node-combined-stream"
"commander@2.2.0","MIT*","https://github.com/visionmedia/commander.js"
"commander@2.6.0","MIT","https://github.com/tj/commander.js"
"commander@2.8.1","MIT","https://github.com/tj/commander.js"
"compressible@2.0.15","MIT","https://github.com/jshttp/compressible"
"compression@1.5.2","MIT","https://github.com/expressjs/compression"
"concat-map@0.0.1","MIT","https://github.com/substack/node-concat-map"
"concat-stream@1.4.11","MIT","https://github.com/maxogden/concat-stream"
"concat-stream@1.6.2","MIT","https://github.com/maxogden/concat-stream"
"config-chain@1.1.12","MIT","https://github.com/dominictarr/config-chain"
"configstore@0.3.2","BSD*","https://github.com/yeoman/configstore"
"connect-livereload@0.5.4","MIT","https://github.com/intesso/connect-livereload"
"connect-timeout@1.6.2","MIT","https://github.com/expressjs/timeout"
"connect@2.30.2","MIT","https://github.com/senchalabs/connect"
"console-browserify@1.1.0","MIT","https://github.com/Raynos/console-browserify"
"console-stream@0.1.1","MIT","https://github.com/Raynos/console-stream"
"constant-case@1.1.2","MIT","https://github.com/blakeembrey/constant-case"
"content-type@1.0.4","MIT","https://github.com/jshttp/content-type"
"convert-source-map@0.4.1","MIT","https://github.com/thlorenz/convert-source-map"
"convert-source-map@1.6.0","MIT","https://github.com/thlorenz/convert-source-map"
"cookie-parser@1.3.5","MIT","https://github.com/expressjs/cookie-parser"
