Category,License,Dependency,Notes
Apache,ASF 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt),cglib # cglib-nodep # 3.2.4,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0),com.sksamuel.elastic4s # elastic4s-core_2.12 # 5.6.6,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0),com.sksamuel.elastic4s # elastic4s-streams_2.12 # 5.6.6,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0),com.sksamuel.elastic4s # elastic4s-tcp_2.12 # 5.6.6,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0),com.sksamuel.elastic4s # elastic4s-xpack-security_2.12 # 5.6.6,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),joda-time # joda-time # 2.9.9,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),net.codingwell # scala-guice_2.12 # 4.2.1,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.apache.lucene # lucene-analyzers-common # 6.6.1,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.apache.lucene # lucene-backward-codecs # 6.6.1,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.apache.lucene # lucene-core # 6.6.1,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.apache.lucene # lucene-grouping # 6.6.1,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.apache.lucene # lucene-highlighter # 6.6.1,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.apache.lucene # lucene-join # 6.6.1,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.apache.lucene # lucene-memory # 6.6.1,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.apache.lucene # lucene-misc # 6.6.1,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.apache.lucene # lucene-queries # 6.6.1,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.apache.lucene # lucene-queryparser # 6.6.1,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.apache.lucene # lucene-sandbox # 6.6.1,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.apache.lucene # lucene-spatial # 6.6.1,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.apache.lucene # lucene-spatial-extras # 6.6.1,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.apache.lucene # lucene-spatial3d # 6.6.1,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.apache.lucene # lucene-suggest # 6.6.1,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.fluentlenium # fluentlenium-core # 3.3.0,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.joda # joda-convert # 1.9.2,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.typelevel # macro-compat_2.12 # 1.1.1,
Apache,Apache 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt),com.google.code.gson # gson # 2.8.0,
Apache,Apache 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt),com.google.errorprone # error_prone_annotations # 2.1.3,
Apache,Apache License (http://www.apache.org/licenses/LICENSE-2.0.txt),org.typelevel # catalysts-macros_2.12 # 0.0.5,
Apache,Apache License (http://www.apache.org/licenses/LICENSE-2.0.txt),org.typelevel # catalysts-platform_2.12 # 0.0.5,
Apache,Apache License 2.0 (http://www.apache.org/licenses/LICENSE-2.0),com.github.spullara.mustache.java # compiler # 0.9.3,
Apache,Apache License 2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),io.dropwizard.metrics # metrics-core # 3.1.2,
Apache,Apache License 2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),io.dropwizard.metrics # metrics-ganglia # 3.1.2,
Apache,Apache License 2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),io.dropwizard.metrics # metrics-graphite # 3.1.2,
Apache,Apache License 2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),io.dropwizard.metrics # metrics-json # 3.1.2,
Apache,Apache License 2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),io.dropwizard.metrics # metrics-jvm # 3.1.2,
Apache,Apache License 2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),io.dropwizard.metrics # metrics-logback # 3.1.2,
Apache,Apache License Version 2.0 (LICENSE.txt),org.yaml # snakeyaml # 1.15,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0)",com.typesafe # config # 1.3.3,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",com.typesafe # ssl-config-core_2.12 # 0.2.4,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",com.typesafe.akka # akka-actor_2.12 # 2.5.17,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",com.typesafe.akka # akka-cluster-tools_2.12 # 2.5.11,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",com.typesafe.akka # akka-cluster_2.12 # 2.5.11,
